"Code","Company","Price","Franking","Yield","Gross","DRP","1yr Return"
"VHY","Vanguard Australian Shares High Yield ETF","$75.44","60%","5.27%","6.64%","Yes","+14.34%"
"FGG","Future Generation Global Ltd","$1.385","100%","5.27%","7.53%","Yes","+19.91%"
"VEA","Viva Energy Group Ltd","$2.63","100%","5.25%","7.50%","No","-11.15%"
"NABPH","National Australia Bank Ltd","$105.51","100%","5.18%","7.39%","No","+2.14%"
"WBCPJ","Westpac Banking Corporation","$104.81","100%","5.17%","7.38%","No","+1.96%"
"BHYB","Betashares Australian Major Bank Hybrids INDEX ETF","$9.99","67%","5.13%","6.60%","Yes","+2.78%"
"PRN","Perenti Ltd","$1.17","38%","5.13%","5.95%","Yes","+9.86%"
"WBCPH","Westpac Banking Corporation","$102.90","100%","5.12%","7.32%","No","+0.88%"
"WBCPL","Westpac Banking Corporation","$105.84","100%","5.12%","7.31%","No","+3.31%"
"BHP","BHP Group Ltd","$43.40","100%","5.08%","7.26%","Yes","-3.45%"
"ASK","Abacus Storage King","$1.19","0%","5.04%","5.04%","No","+13.88%"
"WBC","Westpac Banking Corporation","$32.14","100%","5.04%","7.20%","Yes","+51.67%"
"VG1","Vgi Partners Global Investments Ltd","$1.985","100%","5.04%","7.20%","Yes","+21.41%"
"URW","Unibail-Rodamco-Westfield","$5.85","0%","5.03%","5.03%","No","+39.29%"
"BEN","Bendigo and Adelaide Bank Ltd","$12.54","100%","5.02%","7.18%","Yes","+36.90%"
"MGR","Mirvac Group","$2.095","0%","5.01%","5.01%","No","+6.08%"
"AMC","Amcor Plc","$15.39","0%","5.01%","5.01%","No","+8.53%"
