Rank,Title,Year,Duration,Classification,Rating,Votes,Description,Directors,Stars
1,The Shawshank Redemption,1994,2h 22m,R,9.3,3.1M,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
2,The Godfather,1972,2h 55m,R,9.2,2.2M,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
3,The Dark Knight,2008,2h 32m,PG-13,9.1,3.1M,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
4,The Godfather Part II,1974,3h 22m,R,9.0,1.5M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall"
5,12 Angry Men,1957,1h 36m,Approved,9.0,963K,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam"
6,The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,9.0,2.1M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen"
7,Schindler's List,1993,3h 15m,R,9.0,1.6M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
8,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,8.9,2.2M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom"
9,Pulp Fiction,1994,2h 34m,R,8.8,2.4M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson"
10,"The Good, the Bad and the Ugly",1966,2h 58m,R,8.8,879K,A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
11,The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,8.8,1.9M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen"
12,Forrest Gump,1994,2h 22m,PG-13,8.8,2.4M,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise"
13,Fight Club,1999,2h 19m,R,8.8,2.5M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf"
14,Inception,2010,2h 28m,PG-13,8.8,2.8M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
15,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,8.7,1.5M,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher"
16,The Matrix,1999,2h 16m,R,8.7,2.2M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
17,Goodfellas,1990,2h 25m,R,8.7,1.4M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci"
18,Interstellar,2014,2h 49m,PG-13,8.7,2.4M,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
19,One Flew Over the Cuckoo's Nest,1975,2h 13m,R,8.6,1.1M,"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman"
20,Se7en,1995,2h 7m,R,8.6,2M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey"
21,It's a Wonderful Life,1946,2h 10m,PG,8.6,543K,An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore"
22,The Silence of the Lambs,1991,1h 58m,R,8.6,1.7M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn"
23,Seven Samurai,1954,3h 27m,Not Rated,8.6,397K,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
24,Saving Private Ryan,1998,2h 49m,R,8.6,1.6M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore"
25,The Green Mile,1999,3h 9m,R,8.6,1.5M,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse"
26,City of God,2002,2h 10m,R,8.6,859K,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","Kátia Lund, Fernando Meirelles","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
