Rank,Title,Year,Duration,Classification,Rating,Votes,Description,Directors,Stars
151,Unforgiven,1992,2h 10m,R,8.2,463K,"Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a young would-be gunman calling himself ""The Schofield Kid"".",Clint Eastwood,"Clint Eastwood, Gene Hackman, Morgan Freeman"
152,Kill Bill: Vol. 1,2003,1h 51m,R,8.2,1.3M,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Quentin Tarantino,"Uma Thurman, David Carradine, Daryl Hannah"
153,A Beautiful Mind,2001,2h 15m,PG-13,8.2,1M,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.",Ron Howard,"Russell Crowe, Ed Harris, Jennifer Connelly"
154,The Treasure of the Sierra Madre,1948,2h 6m,Approved,8.2,140K,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt"
155,Howl's Moving Castle,2004,1h 59m,PG,8.2,501K,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",Hayao Miyazaki,"Chieko Baishô, Takuya Kimura, Tatsuya Gashûin"
156,Finding Nemo,2003,1h 40m,G,8.2,1.2M,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","Andrew Stanton, Lee Unkrich","Albert Brooks, Ellen DeGeneres, Alexander Gould"
157,Yojimbo,1961,1h 50m,Not Rated,8.2,141K,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno, Tatsuya Nakadai"
158,The Great Escape,1963,2h 52m,Approved,8.2,274K,Allied officers in a German prisoner of war camp during World War II make a daring plan for a mass escape by hundreds of POWs hoping to draw German personnel and resources away from combat operations.,John Sturges,"Steve McQueen, James Garner, Richard Attenborough"
159,The Best of Youth,2003,6h 14m,R,8.4,27K,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.,Marco Tullio Giordana,"Luigi Lo Cascio, Alessio Boni, Jasmine Trinca"
160,Monty Python and the Holy Grail,1975,1h 31m,PG,8.2,597K,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Terry Gilliam, Terry Jones","Graham Chapman, John Cleese, Eric Idle"
161,The Elephant Man,1980,2h 4m,PG,8.2,279K,"A Victorian surgeon rescues a heavily-disfigured and mistreated young man working as a sideshow freak, who gradually reveals his capacity for kindness, intelligence and sophistication.",David Lynch,"Anthony Hopkins, John Hurt, Anne Bancroft"
162,Klaus,2019,1h 36m,PG,8.2,225K,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.","Carlos Martínez López, Sergio Pablos","Jason Schwartzman, J.K. Simmons, Rashida Jones"
163,Dial M for Murder,1954,1h 45m,PG,8.2,202K,"A London playboy plots the perfect murder of his rich, unfaithful wife.",Alfred Hitchcock,"Ray Milland, Grace Kelly, Robert Cummings"
164,Gone with the Wind,1939,3h 58m,G,8.2,353K,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.,Victor Fleming,"Clark Gable, Vivien Leigh, Thomas Mitchell"
165,The Secret in Their Eyes,2009,2h 9m,R,8.2,239K,"A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases, and for his unreciprocated love with his superior--both of which still haunt him decades later.",Juan José Campanella,"Ricardo Darín, Soledad Villamil, Pablo Rago"
166,Chinatown,1974,2h 10m,R,8.1,373K,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston"
167,"Lock, Stock and Two Smoking Barrels",1998,1h 47m,R,8.1,644K,"When four small-time criminals lose a rigged poker game against a London kingpin, he gives them one week to settle their enormous debt.",Guy Ritchie,"Jason Flemyng, Dexter Fletcher, Nick Moran"
168,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,2h 35m,R,8.5,55K,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.","Hikaru Kondô, Haruo Sotozaki","Zach Aguilar, Saeko Akiho, Yôhei Azakami"
169,V for Vendetta,2005,2h 12m,R,8.1,1.2M,"In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman.",James McTeigue,"Hugo Weaving, Natalie Portman, Rupert Graves"
170,Inside Out,2015,1h 35m,PG,8.1,894K,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions, Joy, Fear, Anger, Disgust, and Sadness, conflict on how best to navigate a new city, house, and school.","Ronnie Del Carmen, Pete Docter","Amy Poehler, Bill Hader, Lewis Black"
171,Rashomon,1950,1h 28m,Not Rated,8.1,194K,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori"
172,Catch Me If You Can,2002,2h 21m,PG-13,8.1,1.2M,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken"
173,"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R,8.1,597K,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell"
174,Trainspotting,1996,1h 33m,R,8.1,761K,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",Danny Boyle,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller"
175,The Bridge on the River Kwai,1957,2h 41m,PG,8.1,246K,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it.",David Lean,"William Holden, Alec Guinness, Jack Hawkins"
176,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13,8.1,1M,"Harry, Ron and Hermione set out on a quest to eliminate the remaining horcruxes. On the other hand, the students and teachers must unite to defend Hogwarts against Lord Voldemort and his army.",David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint"
177,Fargo,1996,1h 38m,R,8.1,772K,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Joel Coen, Ethan Coen","William H. Macy, Frances McDormand, Steve Buscemi"
178,Raging Bull,1980,2h 9m,R,8.1,404K,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci"
179,Dead Poets Society,1989,2h 8m,PG,8.1,626K,"Maverick teacher John Keating returns in 1959 to the prestigious New England boys' boarding school where he was once a star student, using poetry to embolden his pupils to new heights of self-expression.",Peter Weir,"Robin Williams, Robert Sean Leonard, Ethan Hawke"
180,Warrior,2011,2h 20m,PG-13,8.1,523K,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton"
181,The Wild Robot,2024,1h 42m,PG,8.2,207K,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
182,Barry Lyndon,1975,3h 5m,PG,8.1,200K,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,Stanley Kubrick,"Ryan O'Neal, Marisa Berenson, Patrick Magee"
183,Ben-Hur,1959,3h 32m,G,8.1,268K,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",William Wyler,"Charlton Heston, Jack Hawkins, Stephen Boyd"
